Category,Overallrating,NumberReviews,PriceRange,Name
Mediterranean,4.5,52,$$,Van Ness Cafe & Gyros
Korean,4,414,$$,Jin Mi Korean Cuisine
Italian,4,606,$$,Spiazzo Ristorante
Soul Food,3.5,1914,$$,Little Skillet
Barbeque,3.5,562,$$,Southpaw BBQ
Steakhouses,3.5,671,$$$$,Osso Steakhouse
Mexican,4,523,$,Street Taco
American (New),4,461,$$$,Octavia
Thai,4,589,$$,Jitlada Thai Cuisine
Szechuan,3.5,515,$$,Chili House SF
Middle Eastern,4,215,$,Taboun
Scandinavian,4,624,$$$,Pläj Scandinavian Restaurant & Bar
Sushi Bars,4,342,$$,Tamashisoul Sushi Bar
Cafes,4,398,$$,Stonemill Matcha
Bars,4,1653,$$,The Alembic
American (New),3,847,$$,Momo’s
Japanese,4,473,$$,Shabu House
Hawaiian,4.5,28,$$,Trailblazer Tavern
Italian,4,650,$$$,Sociale
Ethiopian,4.5,593,$$,Tadu Ethiopian Kitchen
Gastropubs,4,564,$$,Upcider
Indian,4,1651,$,Pakwan Restaurant - 16th Street
Italian,4.5,45,$$,Osteria Bella
Mediterranean,4,1147,$,Truly Mediterranean
Afghan,4.5,498,$$,De Afghanan Kabob House
Soul Food,4,868,$$,Brenda’s Meat & Three
Mexican,3.5,1309,$$,Tacolicious
Hot Pot,4,249,$$,Fiery Hot Pot Buffet
Hawaiian,4.5,244,$,Huli Huli Hawaiian Grill
Steakhouses,4,1975,$$$,Ruth’s Chris Steak House
Hot Pot,4,484,$$,Nabe
Himalayan/Nepalese,4,432,$$,Little Nepal
Barbeque,4,857,$$,CatHead’s BBQ
Thai,4,503,$$,Pagan Restaurant
Italian,3.5,1017,$$,Americano
Caribbean,4.5,47,$$,Isla Vida
Mongolian,4,484,$$,Little Sheep Mongolian Hot Pot
Indian,4.5,534,$$,Curry Leaf
Dim Sum,4,1478,$,Good Luck Dim Sum
Mexican,4,499,$$,Papito Hayes
Dim Sum,3.5,690,$$,MaMa Ji’s
Seafood,4,707,$$,Pacific Cafe
Middle Eastern,5,6,$$,Saha
Seafood,3,1086,$$$,Waterfront Restaurant
Gastropubs,4,124,$$,Bistro SF Grill
Chinese,4,857,$,Hai Ky Noodles
Dive Bars,3.5,1036,$$,The Ramp
Japanese,4.5,236,$$$$,jū-ni
French,4.5,176,$$$,Revelry Bistro
Burgers,3,159,$$,Hamburger Mary’s
Barbeque,3.5,718,$$$,International Smoke
American (New),4,248,$$$,Nico
Italian,4.5,64,$$$,Dispensa Italian Charcoal Kitchen
Asian Fusion,3.5,1402,$$$,Crustacean
Pubs,3.5,426,$$,Schroeder’s
Latin American,3.5,243,$$,Fresca
Mexican,3,641,$$,Rosa Mexicano
Chinese,3.5,1493,$$,M Y China
Sushi Bars,4.5,230,$$,Elephant Sushi
Sushi Bars,4,1049,$$,Eiji
Middle Eastern,4,1164,$$$$,Michael Mina
Mediterranean,4,357,$$,NoVY Restaurant
Japanese,4.5,13,$$,Okkon Japanese Street Food
Italian,4,1520,$$,Tommaso’s
Pubs,4,443,$$,The Pig & Whistle
Ramen,4,281,$$,Fumi Japanese Curry & Ramen
Latin American,4.5,1077,$$,La Fusión
Chinese,4,420,$,Kung Food
Pizza,4,349,$$,Del Popolo
Italian,4,727,$$$,Poesia
Mexican,3.5,1532,$$,Tacolicious
Dim Sum,4,497,$$,Begoni Bistro
Cuban,4,343,$$,El Nuevo Frutilandia
Steakhouses,4,1116,$$$$,Roka Akor - San Francisco
Sports Bars,4.5,66,$$,After Hours
Chinese,3.5,1436,$$,Z & Y Restaurant
Korean,3.5,1463,$$,Toyose
Spanish,4,582,$$,Canela Bistro & Wine Bar
Italian,4,127,$$,Mescolanza
Steakhouses,4,1595,$$$$,Alexander’s Steakhouse
Gastropubs,4.5,169,$$,Trademark & Copyright
Chinese,3.5,256,$$,Tēo Restaurant & Bar
Japanese,4,627,$$,Shabu Club
Dim Sum,4,50,$$,Harborview Restaurant & Bar
Italian,4,946,$$$,Locanda
Cocktail Bars,4,128,$$,True Laurel
American (New),4.5,178,$$$,Son’s Addition
Korean,4,1604,$$,My Tofu House
Cocktail Bars,4,236,$$,Lord George
American (Traditional),3.5,557,$$,Sunset Reservoir Brewing Company
Mediterranean,4,52,$$,Zaytoon Mediterranean
Vietnamese,4,663,$,Kim Son Vietnamese Restaurant
Brasseries,4,1580,$$$,Bluestem Brasserie
Cocktail Bars,4,87,$$,Violet’s
Sushi Bars,4.5,774,$$$$,KUSAKABE
Cocktail Bars,4,735,$$,Trick Dog
American (New),3.5,2487,$$,Palomino
Hot Pot,4,91,$$,My Pot
Italian,4.5,365,$$,Il Pollaio
