Category,Overallrating,Name,Delivery,NumberReviews,PriceRange
Tapas Bars,4,Halu,No,848,$$
Pizza,4,Pizzeria Delfina,No,1428,$$
Sushi Bars,4.5,Hinata,No,365,$$$$
Sushi Bars,4,Sumo,No,87,$$
American (New),4,Firefly Restaurant,No,1421,$$$
Chinese,4,Hunan Home’s Restaurant,No,1921,$$
Italian,4.5,Marcella’s Lasagneria,N/A,336,$$
Sushi Bars,4,Kaiju Eats Ramen and Izakaya,No,653,$$
Latin American,4,Parada 22,Yes,1088,$$
Middle Eastern,4,Michael Mina,No,1164,$$$$
Sushi Bars,4.5,KUSAKABE,No,778,$$$$
American (Traditional),4,Tommy’s Joynt,Yes,2730,$
Barbeque,4.5,Native Sons BBQ,No,32,$$
Italian,4.5,Roma Antica,Yes,338,$$
Japanese,4.5,Akira Japanese Restaurant,No,280,$$
Seafood,3.5,Mission Rock Resort,Yes,815,$$
Japanese,4,Sushirrito,Yes,1422,$$
Thai,4,Blackwood,Yes,1377,$$
American (Traditional),3.5,Sunset Reservoir Brewing Company,No,558,$$
Mexican,4,Velvet Cantina,No,1198,$$
Korean,3.5,Toyose,No,1463,$$
Italian,4,Perbacco,No,1943,$$$
Chinese,4,House Of Pancakes,No,817,$
American (New),4,Urban Tavern,No,188,$$
American (New),4,Saison,No,428,$$$$
Seafood,3.5,Franciscan Crab Restaurant,No,1606,$$$
French,4.5,L’Ardoise Bistro,No,1201,$$$
American (Traditional),4,West of Pecos,No,878,$$
Cajun/Creole,4,Queen’s Louisiana Po-Boy Cafe,No,545,$$
Pizza,4.5,Baonecci Ristorante,No,918,$$
Italian,3.5,Cioppino’s,No,1464,$$
American (New),4,Serpentine,No,1468,$$
Singaporean,4,Lime Tree Southeast Asian Kitchen,No,1447,$
Korean,4,Aria Korean Tapas,Yes,507,$
Ramen,3.5,Ippudo San Francisco,No,609,$$
Japanese,4.5,Shabu House,N/A,27,$$
Seafood,4.5,Hook Fish,No,320,$$
American (New),4,Hakkasan,No,1592,$$$
American (New),4,Sons & Daughters,No,632,$$$$
Desserts,4.5,The Game Parlour,No,138,$$
Barbeque,4,No.1 SF BBQ,No,55,$$
American (New),3.5,Sutro’s at The Cliff House,No,1299,$$$
Burgers,4,Roam Artisan Burgers,No,1089,$$
Japanese,4,KoJa Kitchen,No,557,$$
Spanish,4,Bota Tapas & Paella Bar,No,188,$$$
Korean,4.5,Go Go 7,Yes,100,$$
Thai,4,Saap Ver Authentic Thai Cuisine,No,349,$$
Asian Fusion,4,Chubby Noodle,Yes,428,$$
Italian,4.5,Acquerello,No,1043,$$$$
American (New),3.5,Fog City,No,663,$$
Steakhouses,4,Espetus Brazilian Steak House,No,3211,$$$
Sushi Bars,4.5,Kibatsu,N/A,47,$$
American (New),4,Causwells,No,639,$$
Spanish,4,Bellota,No,508,$$$
Seafood,3.5,Crab House at Pier 39,No,2073,$$$
